sID,ev_netsize,flood_netsize,tot_ev_units,tot_fl_units,dedicated.staffing,centralized.staffing,grantwriter_dummy,funding_external,funding_internal,med_hh_income_2019,total_pop2019.x,genrev2017.pc.dollars,pct_dem_2016
72715425,1,15,10,4,1,1,1,0,1,47568,681728,1273.601788396545,25.52573
72715433,6,4,2,5,1,1,1,0,1,76015,48065,2106.3351711224386,45.95763
72715453,1,1,6,2,0,0,0,1,0,70549,24881,557.6946264217676,69.3764
72715458,0,0,1,1,0,0,0,1,0,52321,93444,963.5931681006806,21.13265
72715464,5,2,9,3,1,0,0,1,1,71267,62998,942.8712022603893,33.95082
72715466,6,0,4,1,1,1,0,0,1,119291,32362,1106.2666089858476,51.38763
72715470,1,2,4,7,0,0,0,1,1,82396,38014,1345.7673488714684,33.13225
72715475,0,1,0,1,0,0,0,1,1,81895,32400,2907.746913580247,33.43091
72715477,1,3,3,3,1,0,0,1,1,46669,44955,1510.3103103103103,47.46133
72715479,1,0,6,4,1,1,0,0,1,80694,28178,5093.299737383774,52.55876
72715496,12,11,9,1,1,0,0,1,1,104244,52857,1333.7495506744613,31.81687
72715498,2,11,0,5,1,0,1,0,1,127055,200490,2023.2729811960696,10.65056
72715509,0,3,3,4,0,0,1,0,0,45733,40559,1789.2206415345547,21.17793
72715526,0,7,5,9,0,0,1,1,1,67337,36482,1258.1272956526507,23.85849
72715529,0,0,1,2,1,1,1,0,1,129983,22827,3966.4432470320235,47.42514
72715533,1,2,4,5,1,0,0,0,1,82153,36543,1907.8072407848288,24.36685
72715536,3,0,8,5,1,0,0,1,1,60035,228959,1527.9591542590597,64.45279
72715541,0,0,5,5,0,0,1,0,1,74071,22959,830.6982011411646,25.88789
72715547,0,5,4,5,0,0,1,0,1,50444,75048,1403.1153395160432,66.11532
72715549,5,11,6,6,1,1,0,1,1,55557,655057,1944.1682174223008,23.9158
72715550,2,4,5,2,1,1,0,0,1,182083,30185,2239.589199933742,49.70557
72715557,1,3,4,2,0,0,0,0,0,50848,31295,1650.7748841667997,54.07545
72715560,2,4,3,2,0,0,0,0,1,91136,22295,1150.257905359946,12.04819
72715562,1,2,4,1,1,1,1,0,1,53324,103301,1074.4620090802605,33.85587
72715563,5,5,3,9,1,1,1,1,1,44456,35913,1484.0030072675631,33.43091
72715569,0,0,0,1,0,0,0,0,0,40000,20525,936.8087697929354,25.27499
72715579,1,0,2,1,1,1,0,0,1,61259,30528,1117.5642033542977,19.54678
72715587,2,0,4,3,1,1,1,1,1,57659,31324,1089.7394968714084,19.86063
72715594,7,2,3,3,1,0,0,1,1,65308,53544,1005.9763932466757,33.74221
72715609,0,2,3,5,0,0,0,0,1,49460,77273,1139.8030359892848,42.39331
72715614,1,1,4,3,0,0,1,0,0,53270,23006,973.2678431713466,37.12206
72715622,0,0,1,1,0,0,1,0,0,51928,101004,1133.885786701517,27.57193
72715633,1,0,5,3,0,0,0,0,0,65589,37988,1344.2929346109297,28.23858
72715636,0,0,3,1,0,0,0,0,1,37552,38797,1889.2697889012038,22.3596
72715639,0,0,8,2,1,0,0,1,1,158271,65364,4194.633131387308,60.60548
72715642,0,14,4,6,0,0,0,0,0,50343,81125,1134.5577812018491,21.10642
72715652,0,4,1,1,0,0,0,0,0,32072,21653,1904.493603657692,40.32375
72715660,0,0,3,2,0,0,1,0,0,43369,60131,1864.063461442517,14.97065
72715664,2,2,2,6,0,0,0,0,1,93717,41103,2413.546456463032,24.53861
72715670,0,3,1,4,0,0,1,0,0,49878,23918,1030.1446609248267,17.80822
72715675,7,15,2,3,1,1,1,0,1,69630,24118,4864.872709179866,63.67511
72715681,0,0,1,1,0,0,0,1,0,47864,44079,4347.830032441752,56.03754
72715684,1,0,1,2,0,0,0,0,0,101121,36223,1576.4293404742843,16.28005
72715685,7,7,4,8,1,1,1,1,1,54251,154817,2044.200572288573,38.02327
72715686,0,2,0,4,0,0,1,0,0,109485,34413,1052.0152268038241,51.57056
72715687,1,2,2,4,0,0,0,0,0,89251,55135,941.489072277138,30.64003
72715689,0,0,0,1,0,0,0,0,0,40347,48807,1297.170487839859,22.20125
72715695,1,1,3,4,0,0,1,0,1,54357,23639,1671.178983882567,45.43873
72715706,0,0,3,8,0,0,0,0,0,47476,104683,1096.5104171642004,8.412836
72715710,2,3,6,2,1,0,0,1,1,70032,39613,652.4120869411557,19.07108
72715713,1,1,6,3,0,0,0,0,0,82626,20523,1603.810359109292,54.13256
72715722,1,0,3,3,1,1,0,1,1,40769,40117,4621.806216815814,64.11714
72715723,7,10,3,3,1,0,1,1,1,60092,478192,1501.1438919931743,29.26138
72715731,2,2,4,1,1,1,1,0,1,65641,29036,7548.353767736603,59.54368
72715737,0,0,2,1,1,1,1,1,1,138557,41530,868.6491692752227,21.13265
72715745,2,0,1,1,0,0,0,1,0,42447,57509,1084.4041802152706,21.13265
72715749,0,6,1,13,0,0,1,0,1,83091,21729,1531.409636890791,12.20369
72715752,0,1,1,1,0,0,0,0,0,50529,28757,1281.9487429147687,42.72624
72715753,1,5,1,5,1,0,0,1,1,36557,54280,2084.303610906411,35.43241
72715762,0,0,4,1,1,1,0,1,1,69685,24024,1990.7176157176157,53.16282
72715769,2,2,4,6,1,1,0,0,1,83402,24310,971.9457013574661,20.96189
